impl,latency_us,mode,heads,batch,seq_len,tokens_s,key_dim,value_dim,state_dtype,note
fla_kda_chunk,82.77119994163513,kda_prefill,12,1,512,6185726.440610129,128,128,float32,"upstream FLA Triton chunk pipeline, canonical gate (the original)"
fla_kda_safe_triton,70.94079852104187,kda_prefill,12,1,512,7217285.548993853,128,128,float32,"same FLA Triton pipeline, safe gate, FLA_FLASH_KDA=0 - matched baseline for flash_kda"
flash_kda,67.19040274620056,kda_prefill,12,1,512,7620135.898485178,128,128,float32,"MoonshotAI CUTLASS kernels, safe gate only; FLA auto-dispatches here when installed"
flashkda_ptx_int21,44.23359930515289,kda_prefill,12,1,512,11574911.56141019,128,128,float32,"INT21 KDA-B200: plain CUDA/PTX rewrite of FlashKDA, ~1.5x CUTLASS; int32 offsets limit it to total tokens <= 262144"
sglang_kda_chunk,75.33760070800781,kda_prefill,12,1,512,6796075.202665411,128,128,float32,SGLang-vendored FLA chunk pipeline (adds fused-intra small-grid path)
vllm_kda_chunk,80.05759716033936,kda_prefill,12,1,512,6395395.542219015,128,128,float32,vLLM-vendored FLA chunk pipeline + fused canonical gate
trtllm_kda_chunk,77.88479924201965,kda_prefill,12,1,512,6573811.642102439,128,128,float32,TRT-LLM-vendored FLA chunk pipeline + fused safe gate/beta
trtllm_kda_cute,74.12160038948059,kda_prefill,12,1,512,6907568.068007656,128,128,float32,"TRT-LLM in-house CuTe DSL Blackwell prefill (ln_prefill custom op, safe gate); production wrapper incl. l2norm + state gather/scatter"
flashkda_style_triton_c16,52.20159888267517,kda_prefill,12,1,512,9808128.696416695,128,128,float32,"this repo's Triton port of FlashKDA's 2-kernel algorithm, C=16"
flashkda_style_triton_c64,104.25280332565308,kda_prefill,12,1,512,4911138.920654944,128,128,float32,"same Triton port, C=64"
cutedsl_kda_recurrent,1.7952000722289085,kda_prefill,12,1,512,285204979.61227477,128,128,float32,"retired spec-decode CuTeDSL kernel as short-prefill probe, seq<=1024"
fla_kda_chunk,216.59839153289795,kda_prefill,12,1,2048,9455287.20460946,128,128,float32,"upstream FLA Triton chunk pipeline, canonical gate (the original)"
fla_kda_safe_triton,165.03360271453857,kda_prefill,12,1,2048,12409593.963372784,128,128,float32,"same FLA Triton pipeline, safe gate, FLA_FLASH_KDA=0 - matched baseline for flash_kda"
flash_kda,211.52000427246094,kda_prefill,12,1,2048,9682299.350570887,128,128,float32,"MoonshotAI CUTLASS kernels, safe gate only; FLA auto-dispatches here when installed"
flashkda_ptx_int21,139.48160409927368,kda_prefill,12,1,2048,14682939.827264752,128,128,float32,"INT21 KDA-B200: plain CUDA/PTX rewrite of FlashKDA, ~1.5x CUTLASS; int32 offsets limit it to total tokens <= 262144"
sglang_kda_chunk,168.09279918670654,kda_prefill,12,1,2048,12183746.18013955,128,128,float32,SGLang-vendored FLA chunk pipeline (adds fused-intra small-grid path)
vllm_kda_chunk,204.56318855285645,kda_prefill,12,1,2048,10011576.444853976,128,128,float32,vLLM-vendored FLA chunk pipeline + fused canonical gate
trtllm_kda_chunk,190.62399864196777,kda_prefill,12,1,2048,10743662.99411533,128,128,float32,TRT-LLM-vendored FLA chunk pipeline + fused safe gate/beta
